# Miscellaneous Symbols and Arrows 02B00 - 02BFF
2B80	leftwardsTriangleheadedArrowOverRightwardsTriangleheadedArrow 	LEFTWARDS TRIANGLE-HEADED ARROW OVER RIGHTWARDS TRIANGLE-HEADED ARROW
2B81	upwardsTriangleheadedArrowLeftwardsOfDownwardsTriangleheadedArrow 	UPWARDS TRIANGLE-HEADED ARROW LEFTWARDS OF DOWNWARDS TRIANGLE-HEADED ARROW
2B82	rightwardsTriangleheadedArrowOverLeftwardsTriangleheadedArrow 	RIGHTWARDS TRIANGLE-HEADED ARROW OVER LEFTWARDS TRIANGLE-HEADED ARROW
2B83	downwardsTriangleheadedArrowLeftwardsOfUpwardsTriangleheadedArrow 	DOWNWARDS TRIANGLE-HEADED ARROW LEFTWARDS OF UPWARDS TRIANGLE-HEADED ARROW
2B84	leftwardsTriangleheadedPairedArrows 	LEFTWARDS TRIANGLE-HEADED PAIRED ARROWS
2B85	upwardsTriangleheadedPairedArrows 	UPWARDS TRIANGLE-HEADED PAIRED ARROWS
2B86	rightwardsTriangleheadedPairedArrows 	RIGHTWARDS TRIANGLE-HEADED PAIRED ARROWS
2B87	downwardsTriangleheadedPairedArrows 	DOWNWARDS TRIANGLE-HEADED PAIRED ARROWS
2B88	leftwardsBlackCircledWhiteArrow	LEFTWARDS BLACK CIRCLED WHITE ARROW
2B89	upwardsBlackCircledWhiteArrow	UPWARDS BLACK CIRCLED WHITE ARROW
2B8A	rightwardsBlackCircledWhiteArrow	RIGHTWARDS BLACK CIRCLED WHITE ARROW
2B8B	downwardsBlackCircledWhiteArrow	DOWNWARDS BLACK CIRCLED WHITE ARROW
2B8C	anticlockwiseTriangleheadedRightUshapedArrow 	ANTICLOCKWISE TRIANGLE-HEADED RIGHT U-SHAPED ARROW
2B8D	anticlockwiseTriangleheadedBottomUshapedArrow 	ANTICLOCKWISE TRIANGLE-HEADED BOTTOM U-SHAPED ARROW
2B8E	anticlockwiseTriangleheadedLeftUshapedArrow 	ANTICLOCKWISE TRIANGLE-HEADED LEFT U-SHAPED ARROW
2B8F	anticlockwiseTriangleheadedTopUshapedArrow 	ANTICLOCKWISE TRIANGLE-HEADED TOP U-SHAPED ARROW
2B90	returnLeft	RETURN LEFT
2B91	returnRight	RETURN RIGHT
2B92	newlineLeft	NEWLINE LEFT
2B93	newlineRight	NEWLINE RIGHT
2B94	fourCornerArrowsCirclingAnticlockwise	FOUR CORNER ARROWS CIRCLING ANTICLOCKWISE
2B95	rightwardsBlackArrow	RIGHTWARDS BLACK ARROW
2B97	symbolForTypeAElectronics	SYMBOL FOR TYPE A ELECTRONICS
2B98	threedToplightedLeftwardsEquilateralArrowhead 	THREE-D TOP-LIGHTED LEFTWARDS EQUILATERAL ARROWHEAD
2B99	threedRightlightedUpwardsEquilateralArrowhead 	THREE-D RIGHT-LIGHTED UPWARDS EQUILATERAL ARROWHEAD
2B9A	threedToplightedRightwardsEquilateralArrowhead 	THREE-D TOP-LIGHTED RIGHTWARDS EQUILATERAL ARROWHEAD
2B9B	threedLeftlightedDownwardsEquilateralArrowhead 	THREE-D LEFT-LIGHTED DOWNWARDS EQUILATERAL ARROWHEAD
2B9C	blackLeftwardsEquilateralArrowhead	BLACK LEFTWARDS EQUILATERAL ARROWHEAD
2B9D	blackUpwardsEquilateralArrowhead	BLACK UPWARDS EQUILATERAL ARROWHEAD
2B9E	blackRightwardsEquilateralArrowhead	BLACK RIGHTWARDS EQUILATERAL ARROWHEAD
2B9F	blackDownwardsEquilateralArrowhead	BLACK DOWNWARDS EQUILATERAL ARROWHEAD
2BA0	downwardsTriangleheadedArrowWithLongTipLeftwards 	DOWNWARDS TRIANGLE-HEADED ARROW WITH LONG TIP LEFTWARDS
2BA1	downwardsTriangleheadedArrowWithLongTipRightwards 	DOWNWARDS TRIANGLE-HEADED ARROW WITH LONG TIP RIGHTWARDS
2BA2	upwardsTriangleheadedArrowWithLongTipLeftwards 	UPWARDS TRIANGLE-HEADED ARROW WITH LONG TIP LEFTWARDS
2BA3	upwardsTriangleheadedArrowWithLongTipRightwards 	UPWARDS TRIANGLE-HEADED ARROW WITH LONG TIP RIGHTWARDS
2BA4	leftwardsTriangleheadedArrowWithLongTipUpwards 	LEFTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP UPWARDS
2BA5	rightwardsTriangleheadedArrowWithLongTipUpwards 	RIGHTWARDS TRIANGLE-HEADED ARROW WITH LONG TIP UPWARDS
