# Supplemental Mathematical Operators 02A00 - 02AFF
2A77	equalsSignWithTwoDotsAboveAndTwoDotsBelow	EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW
2A78	equivalentWithFourDotsAbove	EQUIVALENT WITH FOUR DOTS ABOVE
2A79	lessthanWithCircleInside 	LESS-THAN WITH CIRCLE INSIDE
2A7A	greaterthanWithCircleInside 	GREATER-THAN WITH CIRCLE INSIDE
2A7B	lessthanWithQuestionMarkAbove 	LESS-THAN WITH QUESTION MARK ABOVE
2A7C	greaterthanWithQuestionMarkAbove 	GREATER-THAN WITH QUESTION MARK ABOVE
2A7D	lessthanOrSlantedEqualTo 	LESS-THAN OR SLANTED EQUAL TO
2A7E	greaterthanOrSlantedEqualTo 	GREATER-THAN OR SLANTED EQUAL TO
2A7F	lessthanOrSlantedEqualToWithDotInside 	LESS-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
2A80	greaterthanOrSlantedEqualToWithDotInside 	GREATER-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
2A81	lessthanOrSlantedEqualToWithDotAbove 	LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
2A82	greaterthanOrSlantedEqualToWithDotAbove 	GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
2A83	lessthanOrSlantedEqualToWithDotAboveRight 	LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE RIGHT
2A84	greaterthanOrSlantedEqualToWithDotAboveLeft 	GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE LEFT
2A85	lessthanOrApproximate 	LESS-THAN OR APPROXIMATE
2A86	greaterthanOrApproximate 	GREATER-THAN OR APPROXIMATE
2A87	lessthanAndSinglelineNotEqualTo 	LESS-THAN AND SINGLE-LINE NOT EQUAL TO
2A88	greaterthanAndSinglelineNotEqualTo 	GREATER-THAN AND SINGLE-LINE NOT EQUAL TO
2A89	lessthanAndNotApproximate 	LESS-THAN AND NOT APPROXIMATE
2A8A	greaterthanAndNotApproximate 	GREATER-THAN AND NOT APPROXIMATE
2A8B	lessthanAboveDoublelineEqualAboveGreaterthan 	LESS-THAN ABOVE DOUBLE-LINE EQUAL ABOVE GREATER-THAN
2A8C	greaterthanAboveDoublelineEqualAboveLessthan 	GREATER-THAN ABOVE DOUBLE-LINE EQUAL ABOVE LESS-THAN
2A8D	lessthanAboveSimilarOrEqual 	LESS-THAN ABOVE SIMILAR OR EQUAL
2A8E	greaterthanAboveSimilarOrEqual 	GREATER-THAN ABOVE SIMILAR OR EQUAL
2A8F	lessthanAboveSimilarAboveGreaterthan 	LESS-THAN ABOVE SIMILAR ABOVE GREATER-THAN
2A90	greaterthanAboveSimilarAboveLessthan 	GREATER-THAN ABOVE SIMILAR ABOVE LESS-THAN
2A91	lessthanAboveGreaterthanAboveDoublelineEqual 	LESS-THAN ABOVE GREATER-THAN ABOVE DOUBLE-LINE EQUAL
2A92	greaterthanAboveLessthanAboveDoublelineEqual 	GREATER-THAN ABOVE LESS-THAN ABOVE DOUBLE-LINE EQUAL
2A93	lessthanAboveSlantedEqualAboveGreaterthanAboveSlantedEqual 	LESS-THAN ABOVE SLANTED EQUAL ABOVE GREATER-THAN ABOVE SLANTED EQUAL
2A94	greaterthanAboveSlantedEqualAboveLessthanAboveSlantedEqual 	GREATER-THAN ABOVE SLANTED EQUAL ABOVE LESS-THAN ABOVE SLANTED EQUAL
2A95	slantedEqualToOrLessthan 	SLANTED EQUAL TO OR LESS-THAN
2A96	slantedEqualToOrGreaterthan 	SLANTED EQUAL TO OR GREATER-THAN
2A97	slantedEqualToOrLessthanWithDotInside 	SLANTED EQUAL TO OR LESS-THAN WITH DOT INSIDE
2A98	slantedEqualToOrGreaterthanWithDotInside 	SLANTED EQUAL TO OR GREATER-THAN WITH DOT INSIDE
2A99	doublelineEqualToOrLessthan 	DOUBLE-LINE EQUAL TO OR LESS-THAN
2A9A	doublelineEqualToOrGreaterthan 	DOUBLE-LINE EQUAL TO OR GREATER-THAN
2A9B	doublelineSlantedEqualToOrLessthan 	DOUBLE-LINE SLANTED EQUAL TO OR LESS-THAN
2A9C	doublelineSlantedEqualToOrGreaterthan 	DOUBLE-LINE SLANTED EQUAL TO OR GREATER-THAN
2A9D	similarOrLessthan 	SIMILAR OR LESS-THAN
2A9E	similarOrGreaterthan 	SIMILAR OR GREATER-THAN
2A9F	similarAboveLessthanAboveEqualsSign 	SIMILAR ABOVE LESS-THAN ABOVE EQUALS SIGN
2AA0	similarAboveGreaterthanAboveEqualsSign 	SIMILAR ABOVE GREATER-THAN ABOVE EQUALS SIGN
2AA1	doubleNestedLessthan 	DOUBLE NESTED LESS-THAN
2AA2	doubleNestedGreaterthan 	DOUBLE NESTED GREATER-THAN
2AA3	doubleNestedLessthanWithUnderbar 	DOUBLE NESTED LESS-THAN WITH UNDERBAR
2AA4	greaterthanOverlappingLessthan 	GREATER-THAN OVERLAPPING LESS-THAN
2AA5	greaterthanBesideLessthan 	GREATER-THAN BESIDE LESS-THAN
2AA6	lessthanClosedByCurve 	LESS-THAN CLOSED BY CURVE
2AA7	greaterthanClosedByCurve 	GREATER-THAN CLOSED BY CURVE
2AA8	lessthanClosedByCurveAboveSlantedEqual 	LESS-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
2AA9	greaterthanClosedByCurveAboveSlantedEqual 	GREATER-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
2AAA	smallerThan	SMALLER THAN
2AAB	largerThan	LARGER THAN
2AAC	smallerThanOrEqualTo	SMALLER THAN OR EQUAL TO
2AAD	largerThanOrEqualTo	LARGER THAN OR EQUAL TO
2AAE	equalsSignWithBumpyAbove	EQUALS SIGN WITH BUMPY ABOVE
2AAF	precedesAboveSinglelineEqualsSign 	PRECEDES ABOVE SINGLE-LINE EQUALS SIGN
2AB0	succeedsAboveSinglelineEqualsSign 	SUCCEEDS ABOVE SINGLE-LINE EQUALS SIGN
2AB1	precedesAboveSinglelineNotEqualTo 	PRECEDES ABOVE SINGLE-LINE NOT EQUAL TO
2AB2	succeedsAboveSinglelineNotEqualTo 	SUCCEEDS ABOVE SINGLE-LINE NOT EQUAL TO
2AB3	precedesAboveEqualsSign	PRECEDES ABOVE EQUALS SIGN
