# Miscellaneous Mathematical Symbols-B 02980 - 029FF
29E9	downpointingTriangleWithRightHalfBlack 	DOWN-POINTING TRIANGLE WITH RIGHT HALF BLACK
29EA	blackDiamondWithDownArrow	BLACK DIAMOND WITH DOWN ARROW
29EB	blackLozenge	BLACK LOZENGE
29EC	whiteCircleWithDownArrow	WHITE CIRCLE WITH DOWN ARROW
29ED	blackCircleWithDownArrow	BLACK CIRCLE WITH DOWN ARROW
29EE	errorbarredWhiteSquare 	ERROR-BARRED WHITE SQUARE
29EF	errorbarredBlackSquare 	ERROR-BARRED BLACK SQUARE
29F0	errorbarredWhiteDiamond 	ERROR-BARRED WHITE DIAMOND
29F1	errorbarredBlackDiamond 	ERROR-BARRED BLACK DIAMOND
29F2	errorbarredWhiteCircle 	ERROR-BARRED WHITE CIRCLE
29F3	errorbarredBlackCircle 	ERROR-BARRED BLACK CIRCLE
29F4	ruledelayed 	RULE-DELAYED
29F5	reverseSolidusOperator	REVERSE SOLIDUS OPERATOR
29F6	solidusWithOverbar	SOLIDUS WITH OVERBAR
29F7	reverseSolidusWithHorizontalStroke	REVERSE SOLIDUS WITH HORIZONTAL STROKE
29F8	bigSolidus	BIG SOLIDUS
29F9	bigReverseSolidus	BIG REVERSE SOLIDUS
29FA	doublePlus	DOUBLE PLUS
29FB	triplePlus	TRIPLE PLUS
29FC	leftpointingCurvedAngleBracket 	LEFT-POINTING CURVED ANGLE BRACKET
29FD	rightpointingCurvedAngleBracket 	RIGHT-POINTING CURVED ANGLE BRACKET
29FE	tiny	TINY
29FF	miny	MINY
